election_day,type,region,N,farleft,left,green,center,right,farright,other
2007-04-22,president,Nouvelle-Aquitaine,3495768,263777,1021471,99245,693876,960115,295264,162020
2007-04-22,president,Occitanie,3284517,240229,937549,107143,576384,928111,369235,125866
2007-04-22,president,Pays de la Loire,2160340,148905,552274,64762,457569,636937,158843,141050
2007-04-22,president,Provence-Alpes-Côte d'Azur,2729591,176706,579036,75302,419162,1010235,377830,91320
2007-06-10,legislative,Auvergne-Rhône-Alpes,2977701,229325,739348,135942,251309,1297284,129054,195439
2007-06-10,legislative,Bourgogne-Franche-Comté,1206072,74141,337612,45532,74567,540819,58657,74744
2007-06-10,legislative,Bretagne,1480803,103739,454546,64693,131266,591174,34060,101325
2007-06-10,legislative,Centre-Val de Loire,1079493,87459,276221,37755,76448,465964,55485,80161
2007-06-10,legislative,Corse,123492,9423,27494,1988,0,52747,3457,28383
2007-06-10,legislative,Grand Est,2102850,120340,439087,85354,180757,1026738,121816,128758
2007-06-10,legislative,Guadeloupe,95901,1108,14889,4126,1933,18327,0,55518
2007-06-10,legislative,Guyane,22940,0,0,1380,1054,8084,295,12127
2007-06-10,legislative,Hauts-de-France,2445585,261880,689498,76560,135046,902965,159163,220473
2007-06-10,legislative,Ile-de-France,3996562,336203,945366,196945,377796,1714583,149872,275797
2007-06-10,legislative,La Réunion,247911,2278,57275,5554,5656,70831,253,106064
2007-06-10,legislative,Martinique,97933,972,13050,0,0,25998,0,57913
2007-06-10,legislative,Normandie,1423922,124365,384483,47204,87307,611801,58424,110338
2007-06-10,legislative,Nouvelle-Aquitaine,2602722,180296,862017,99530,216657,995796,75853,172573
2007-06-10,legislative,Occitanie,2412377,225791,739712,80981,171116,951959,106890,135928
2007-06-10,legislative,Pays de la Loire,1552701,85027,423438,84076,135741,643887,35705,144827
2007-06-10,legislative,Provence-Alpes-Côte d'Azur,1948995,157135,370011,86608,124876,930375,122873,157117
2008-03-09,department,Auvergne-Rhône-Alpes,1591283,136727,414909,96640,125574,369630,87715,360088
2008-03-09,department,Bourgogne-Franche-Comté,682349,53148,193545,21746,26891,204774,33949,148296
2008-03-09,department,Bretagne,772956,67885,242687,32484,34447,140470,8483,246500
2008-03-09,department,Centre-Val de Loire,594166,58800,132081,18626,60715,156221,31111,136612
2008-03-09,department,Corse,87222,5220,12496,690,1303,13426,807,53280
2008-03-09,department,Grand Est,1200974,69083,290862,47272,69619,385669,86516,251953
2008-03-09,department,Guadeloupe,80735,4535,16690,465,0,5004,0,54041
2008-03-09,department,Guyane,18513,0,258,361,0,2089,0,15805
2008-03-09,department,Hauts-de-France,1292180,164936,414281,47226,79838,217770,108752,259377
2008-03-09,department,Ile-de-France,1504429,158033,368788,85976,114328,474054,71127,232123
2008-03-09,department,La Réunion,144618,15154,30326,521,7752,29770,0,61095
2008-03-09,department,Martinique,71648,0,2276,0,0,6693,0,62679
2008-03-09,department,Normandie,787381,80613,217080,25235,48521,127648,21617,266667
2008-03-09,department,Nouvelle-Aquitaine,1407078,119550,523043,64839,89663,300231,33792,275960
2008-03-09,department,Occitanie,1311464,138383,496152,64180,79073,231310,71497,230869
2008-03-09,department,Pays de la Loire,790935,47117,182033,64902,63855,134025,15498,283505
2008-03-09,department,Provence-Alpes-Côte d'Azur,974354,106315,210911,26193,50137,339391,73375,168032
2009-06-07,european,Auvergne-Rhône-Alpes,2008368,233099,322038,369307,168224,573388,127410,214902
2009-06-07,european,Bourgogne-Franche-Comté,793011,96986,146286,111208,69035,228733,53114,87649
2009-06-07,european,Bretagne,957002,112132,169422,171796,92942,255649,29132,125929
2009-06-07,european,Centre-Val de Loire,704792,93282,111158,99251,56154,207206,41401,96340
2009-06-07,european,Corse,63576,11130,8254,15254,2647,17415,4183,4693
2009-06-07,european,Grand Est,1381890,142459,228685,199412,136221,406283,111558,157272
2009-06-07,european,Guadeloupe,39219,0,6587,20150,1116,9100,0,2266
2009-06-07,european,Guyane,7739,0,1021,1917,731,2359,0,1711
2009-06-07,european,Hauts-de-France,1564160,244293,297774,172472,127765,364669,178974,178213
2009-06-07,european,Ile-de-France,2798120,296114,379908,583690,238341,828172,123199,348696
2009-06-07,european,La Réunion,161854,0,37210,21615,13399,38448,0,51182
2009-06-07,european,Martinique,37265,0,5395,3799,3378,8984,0,15709
2009-06-07,european,Normandie,919980,121861,151759,128107,87717,236887,74035,119614
2009-06-07,european,Nouvelle-Aquitaine,1725663,237788,328983,254399,150732,461140,74860,217761
2009-06-07,european,Occitanie,1660640,254139,290403,266956,131533,448021,109671,159917
2009-06-07,european,Pays de la Loire,1029085,103326,162744,169468,81825,284920,28467,198335
2009-06-07,european,Provence-Alpes-Côte d'Azur,1264531,145318,170232,205937,80383,384178,135687,142796
2010-03-14,regional,Auvergne-Rhône-Alpes,2186590,267601,567889,355647,95433,588146,279407,32467
2010-03-14,regional,Bourgogne-Franche-Comté,915075,63924,306505,88091,33494,277008,114590,31463
2010-03-14,regional,Bretagne,1098553,82053,408551,134161,58847,260731,67895,86315
2010-03-14,regional,Centre-Val de Loire,783653,88209,221168,91365,39803,227392,87872,27844
2010-03-14,regional,Corse,130775,13107,0,0,5554,27903,5438,78773
2010-03-14,regional,Grand Est,1560131,52347,443278,173839,60446,459255,228706,142260
2010-03-14,regional,Guadeloupe,138495,5869,78261,0,0,19405,0,34960
2010-03-14,regional,Guyane,30045,0,301,0,0,12202,0,17542
2010-03-14,regional,Hauts-de-France,1802858,242042,511244,184325,69727,382874,315680,96966
2010-03-14,regional,Ile-de-France,2889321,297800,729898,479047,114983,802123,268318,197152
2010-03-14,regional,La Réunion,237027,1945,30970,11700,0,62643,0,129769
2010-03-14,regional,Martinique,129419,0,0,0,1350,13586,0,114483
