election_day,type,region,N,farleft,left,green,center,right,farright,other
2010-03-14,regional,Grand Est,1560131,52347.0,443278.0,173839.0,60446.0,459255.0,228706.0,142260.0
2010-03-14,regional,Guadeloupe,138495,5869.0,78261.0,0.0,0.0,19405.0,0.0,34960.0
2010-03-14,regional,Guyane,30045,0.0,301.0,0.0,0.0,12202.0,0.0,17542.0
2010-03-14,regional,Hauts-de-France,1802858,242042.0,511244.0,184325.0,69727.0,382874.0,315680.0,96966.0
2010-03-14,regional,Ile-de-France,2889321,297800.0,729898.0,479047.0,114983.0,802123.0,268318.0,197152.0
2010-03-14,regional,La Réunion,237027,1945.0,30970.0,11700.0,0.0,62643.0,0.0,129769.0
2010-03-14,regional,Martinique,129419,0.0,0.0,0.0,1350.0,13586.0,0.0,114483.0
2010-03-14,regional,Normandie,1053748,99307.0,356304.0,110043.0,59384.0,276378.0,109357.0,42975.0
2010-03-14,regional,Nouvelle-Aquitaine,1978213,187861.0,753959.0,206227.0,149667.0,487805.0,158754.0,33940.0
2010-03-14,regional,Occitanie,1903273,189986.0,483873.0,217677.0,38290.0,395148.0,208349.0,369950.0
2010-03-14,regional,Pays de la Loire,1178885,77762.0,405105.0,160831.0,53879.0,386479.0,83159.0,11670.0
2010-03-14,regional,Provence-Alpes-Côte d'Azur,1459832,129098.0,376601.0,159426.0,36699.0,388365.0,296283.0,73360.0
2011-03-20,department,Auvergne-Rhône-Alpes,1087379,84118.0,250403.0,118511.0,52334.0,150715.0,165991.0,265307.0
2011-03-20,department,Bourgogne-Franche-Comté,447627,23037.0,117431.0,26074.0,10310.0,101959.0,67794.0,101022.0
2011-03-20,department,Bretagne,523773,34663.0,162695.0,54379.0,19436.0,81301.0,22762.0,148537.0
2011-03-20,department,Centre-Val de Loire,380373,32895.0,92613.0,23973.0,36765.0,65302.0,59735.0,69090.0
2011-03-20,department,Corse,58868,2371.0,6687.0,266.0,0.0,7032.0,978.0,41534.0
2011-03-20,department,Grand Est,780207,43424.0,165089.0,59857.0,27320.0,156740.0,148768.0,179009.0
2011-03-20,department,Guadeloupe,57780,1307.0,11949.0,113.0,1089.0,4084.0,0.0,39238.0
2011-03-20,department,Guyane,10676,283.0,1653.0,739.0,0.0,823.0,0.0,7178.0
2011-03-20,department,Hauts-de-France,906519,112637.0,262567.0,59681.0,45668.0,120624.0,204308.0,101034.0
2011-03-20,department,Ile-de-France,1041393,103492.0,227543.0,119757.0,48290.0,247814.0,176781.0,117716.0
2011-03-20,department,La Réunion,144755,40189.0,27295.0,6652.0,4466.0,33507.0,0.0,32646.0
2011-03-20,department,Martinique,56151,0.0,4411.0,76.0,3471.0,2185.0,0.0,46008.0
2011-03-20,department,Normandie,484681,40060.0,138254.0,34686.0,32291.0,60272.0,66788.0,112330.0
2011-03-20,department,Nouvelle-Aquitaine,939010,84648.0,334836.0,77678.0,39663.0,169397.0,84634.0,148154.0
2011-03-20,department,Occitanie,929452,89590.0,316032.0,78833.0,22959.0,101049.0,154216.0,166773.0
2011-03-20,department,Pays de la Loire,560494,26266.0,149842.0,63131.0,37450.0,81809.0,42595.0,159401.0
2011-03-20,department,Provence-Alpes-Côte d'Azur,728229,59252.0,148951.0,62736.0,21243.0,162378.0,184552.0,89117.0
2012-04-22,president,Auvergne-Rhône-Alpes,4236772,487361.0,1121830.0,113157.0,421850.0,1161002.0,768100.0,163472.0
2012-04-22,president,Bourgogne-Franche-Comté,1605933,171131.0,435464.0,31446.0,140222.0,427908.0,333120.0,66642.0
2012-04-22,president,Bretagne,1979793,217929.0,628441.0,58396.0,224902.0,508072.0,262095.0,79958.0
2012-04-22,president,Centre-Val de Loire,1445979,151971.0,385169.0,26314.0,137172.0,403460.0,280096.0,61797.0
2012-04-22,president,Corse,160732,15834.0,39029.0,3678.0,8050.0,50492.0,39209.0,4440.0
2012-04-22,president,Grand Est,3016790,268120.0,702093.0,60071.0,297086.0,862918.0,700276.0,126226.0
2012-04-22,president,Guadeloupe,145159,7806.0,82735.0,2134.0,6861.0,33973.0,7486.0,4164.0
2012-04-22,president,Guyane,37412,2952.0,15943.0,843.0,2329.0,10174.0,3920.0,1251.0
2012-04-22,president,Hauts-de-France,3283288,381641.0,916146.0,48375.0,233986.0,791042.0,783156.0,128942.0
2012-04-22,president,Ile-de-France,5340480,632208.0,1695372.0,144346.0,492070.0,1550000.0,655926.0,170558.0
2012-04-22,president,La Réunion,364085,24503.0,194009.0,7737.0,24853.0,65377.0,37549.0,10057.0
2012-04-22,president,Martinique,146270,8600.0,76034.0,2275.0,8681.0,38443.0,6960.0,5277.0
2012-04-22,president,Mayotte,35983,944.0,13152.0,789.0,1505.0,17536.0,996.0,1061.0
2012-04-22,president,Normandie,1911191,214395.0,529617.0,34179.0,175750.0,516411.0,358330.0,82509.0
2012-04-22,president,Nouvelle-Aquitaine,3419128,402526.0,1094450.0,74536.0,339978.0,829948.0,539002.0,138688.0
2012-04-22,president,Occitanie,3284870,433452.0,961597.0,80218.0,271016.0,781691.0,644965.0,111931.0
2012-04-22,president,Pays de la Loire,2145252,217491.0,609189.0,52816.0,249971.0,614195.0,308806.0,92784.0
2012-04-22,president,Provence-Alpes-Côte d'Azur,2724649,306088.0,600742.0,59009.0,182178.0,846367.0,650336.0,79929.0
2012-06-10,legislative,Auvergne-Rhône-Alpes,3034596,224947.0,906002.0,229134.0,73964.0,934175.0,440818.0,225556.0
2012-06-10,legislative,Bourgogne-Franche-Comté,1195738,65466.0,386088.0,61950.0,36527.0,361477.0,177380.0,106850.0
2012-06-10,legislative,Bretagne,1444446,82204.0,501527.0,82376.0,26694.0,368292.0,116898.0,266455.0
2012-06-10,legislative,Centre-Val de Loire,1056975,69488.0,332380.0,60965.0,82971.0,308242.0,152895.0,50034.0
2012-06-10,legislative,Corse,130998,10153.0,24704.0,590.0,0.0,38830.0,11818.0,44903.0
2012-06-10,legislative,Grand Est,2115765,86583.0,547188.0,160755.0,68933.0,709032.0,368402.0,174872.0
2012-06-10,legislative,Guadeloupe,97261,294.0,36684.0,3767.0,642.0,11468.0,1765.0,42641.0
2012-06-10,legislative,Guyane,22259,265.0,8178.0,1416.0,385.0,2957.0,0.0,9058.0
2012-06-10,legislative,Hauts-de-France,2349042,228957.0,681852.0,105464.0,142217.0,532235.0,428403.0,229914.0
2012-06-10,legislative,Ile-de-France,3890489,332971.0,1178229.0,305950.0,137466.0,1143480.0,396094.0,396299.0
2012-06-10,legislative,La Réunion,258987,2968.0,84242.0,6618.0,30805.0,38206.0,7169.0,88979.0
2012-06-10,legislative,Martinique,94094,0.0,11180.0,3134.0,978.0,9214.0,919.0,68669.0
2012-06-10,legislative,Mayotte,36756,0.0,6384.0,451.0,1032.0,9680.0,370.0,18839.0
2012-06-10,legislative,Normandie,1372929,100420.0,443101.0,75181.0,109816.0,362275.0,183555.0,98581.0
2012-06-10,legislative,Nouvelle-Aquitaine,2508606,169008.0,1031318.0,132484.0,132461.0,567558.0,270228.0,205549.0
2012-06-10,legislative,Occitanie,2435207,200733.0,860329.0,145176.0,62420.0,529806.0,390412.0,246331.0
2012-06-10,legislative,Pays de la Loire,1539690,66240.0,517450.0,118817.0,62350.0,393237.0,142520.0,239076.0
2012-06-10,legislative,Provence-Alpes-Côte d'Azur,1971255,142588.0,412951.0,154588.0,43881.0,627850.0,423912.0,165485.0
2014-05-25,european,Auvergne-Rhône-Alpes,2211437,135917.0,302017.0,223476.0,219570.0,481775.0,526663.0,322019.0
2014-05-25,european,Bourgogne-Franche-Comté,868611,54422.0,123195.0,54508.0,68437.0,198479.0,241684.0,127886.0
2014-05-25,european,Bretagne,1055623,53023.0,169560.0,108802.0,122401.0,194382.0,180438.0,227017.0
2014-05-25,european,Centre-Val de Loire,776648,49306.0,99548.0,54237.0,83319.0,164197.0,205935.0,120106.0
2014-05-25,european,Corse,79982,4792.0,7528.0,3501.0,2809.0,21044.0,18631.0,21677.0
2014-05-25,european,Grand Est,1559789,72847.0,198368.0,101186.0,154843.0,353330.0,462125.0,217090.0
2014-05-25,european,Guadeloupe,26344,0.0,6244.0,2093.0,1529.0,7420.0,2280.0,6778.0
2014-05-25,european,Guyane,7887,0.0,588.0,3225.0,402.0,1183.0,1119.0,1370.0
2014-05-25,european,Hauts-de-France,1706183,114135.0,191090.0,112656.0,161015.0,297494.0,618398.0,211395.0
2014-05-25,european,Ile-de-France,2950984,193249.0,422542.0,279808.0,349529.0,641523.0,510805.0,553528.0
2014-05-25,european,La Réunion,115122,0.0,17840.0,9721.0,10471.0,25535.0,14919.0,36636.0
2014-05-25,european,Martinique,31206,0.0,6446.0,1656.0,1292.0,5162.0,1464.0,15186.0
2014-05-25,european,Mayotte,23266,0.0,3172.0,628.0,956.0,8052.0,1257.0,9201.0
2014-05-25,european,Normandie,1012958,59396.0,129160.0,81939.0,94093.0,212445.0,295824.0,140101.0
2014-05-25,european,Nouvelle-Aquitaine,1869743,143144.0,323670.0,184107.0,183117.0,376689.0,407780.0,251236.0
2014-05-25,european,Occitanie,1879000,167401.0,291132.0,222632.0,141672.0,334923.0,500318.0,220922.0
2014-05-25,european,Pays de la Loire,1122577,53786.0,167904.0,120122.0,160134.0,224437.0,218821.0,177373.0
2014-05-25,european,Provence-Alpes-Côte d'Azur,1461937,94010.0,154293.0,113343.0,101583.0,340465.0,485510.0,172733.0
2015-12-06,regional,Auvergne-Rhône-Alpes,2507815,0.0,600112.0,0.0,0.0,0.0,639923.0,1267780.0
2015-12-06,regional,Bourgogne-Franche-Comté,962968,44471.0,221376.0,37707.0,0.0,0.0,303143.0,356271.0
2015-12-06,regional,Bretagne,1202276,44938.0,419846.0,80516.0,0.0,0.0,218474.0,438502.0
2015-12-06,regional,Centre-Val de Loire,859957,0.0,209024.0,56754.0,0.0,0.0,262156.0,332023.0
2015-12-06,regional,Corse,133989,7448.0,4353.0,0.0,0.0,0.0,14176.0,108012.0
