"Libellé";"Enquête mensuelle de conjoncture auprès des ménages - Indicateur synthétique de confiance des ménages (premier facteur des soldes d'opinion de l'enquête) - Données CVS";"Codes"
"idBank";"001587668";""
"Dernière mise à jour";"28/09/2021 08:45";""
"Période";"";""
"1990-03";"113";"A"
"1990-02";"112";"A"
"1990-01";"113";"A"
"1989-12";"113";"A"
"1989-11";"111";"A"
"1989-10";"111";"A"
"1989-09";"110";"A"
"1989-08";"110";"A"
"1989-07";"110";"A"
"1989-06";"109";"A"
"1989-05";"109";"A"
"1989-04";"111";"A"
"1989-03";"110";"A"
"1989-02";"111";"A"
"1989-01";"112";"A"
"1988-12";"110";"A"
"1988-11";"113";"A"
"1988-10";"111";"A"
"1988-09";"111";"A"
"1988-08";"111";"A"
"1988-07";"111";"A"
"1988-06";"110";"A"
"1988-05";"110";"A"
"1988-04";"106";"A"
"1988-03";"108";"A"
"1988-02";"107";"A"
"1988-01";"107";"A"
"1987-12";"106";"A"
"1987-11";"104";"A"
"1987-10";"104";"A"
"1987-09";"103";"A"
"1987-08";"102";"A"
"1987-07";"101";"A"
"1987-06";"100";"A"
"1987-05";"99";"A"
"1987-04";"101";"A"
"1987-03";"100";"A"
"1987-02";"101";"A"
"1987-01";"100";"A"
"1986-12";"105";"A"
"1986-11";"104";"A"
"1986-10";"106";"A"
"1986-09";"105";"A"
"1986-08";"105";"A"
"1986-07";"105";"A"
"1986-06";"104";"A"
"1986-05";"110";"A"
"1986-04";"107";"A"
"1986-03";"108";"A"
"1986-02";"107";"A"
"1986-01";"106";"A"
"1985-12";"105";"A"
"1985-11";"103";"A"
"1985-10";"102";"A"
"1985-09";"101";"A"
"1985-08";"100";"A"
"1985-07";"99";"A"
"1985-06";"99";"A"
"1985-05";"98";"A"
"1985-04";"97";"A"
"1985-03";"96";"A"
"1985-02";"95";"A"
"1985-01";"95";"A"
"1984-12";"94";"A"
"1984-11";"94";"A"
"1984-10";"94";"A"
"1984-09";"95";"A"
"1984-08";"95";"A"
"1984-07";"95";"A"
"1984-06";"95";"A"
"1984-05";"95";"A"
"1984-04";"96";"A"
"1984-03";"97";"A"
"1984-02";"98";"A"
"1984-01";"99";"A"
"1983-12";"100";"A"
"1983-11";"100";"A"
"1983-10";"101";"A"
"1983-09";"101";"A"
"1983-08";"101";"A"
"1983-07";"100";"A"
"1983-06";"99";"A"
"1983-05";"100";"A"
"1983-04";"103";"A"
"1983-03";"107";"A"
"1983-02";"109";"A"
"1983-01";"109";"A"
"1982-12";"107";"A"
"1982-11";"106";"A"
"1982-10";"106";"A"
"1982-09";"108";"A"
"1982-08";"110";"A"
"1982-07";"111";"A"
"1982-06";"113";"A"
"1982-05";"114";"A"
"1982-04";"114";"A"
"1982-03";"114";"A"
"1982-02";"114";"A"
"1982-01";"113";"A"
"1981-12";"111";"A"
"1981-11";"110";"A"
"1981-10";"110";"A"
"1981-09";"110";"A"
"1981-08";"110";"A"
"1981-07";"110";"A"
"1981-06";"111";"A"
"1981-05";"110";"A"
"1981-04";"108";"A"
"1981-03";"105";"A"
"1981-02";"104";"A"
"1981-01";"104";"A"
"1980-12";"105";"A"
"1980-11";"106";"A"
"1980-10";"106";"A"
"1980-09";"106";"A"
"1980-08";"106";"A"
"1980-07";"105";"A"
"1980-06";"105";"A"
"1980-05";"105";"A"
"1980-04";"105";"A"
"1980-03";"105";"A"
"1980-02";"106";"A"
"1980-01";"107";"A"
"1979-12";"109";"A"
"1979-11";"110";"A"
"1979-10";"111";"A"
"1979-09";"111";"A"
"1979-08";"111";"A"
"1979-07";"111";"A"
"1979-06";"111";"A"
"1979-05";"111";"A"
"1979-04";"112";"A"
"1979-03";"112";"A"
"1979-02";"113";"A"
"1979-01";"114";"A"
"1978-12";"115";"A"
"1978-11";"115";"A"
"1978-10";"116";"A"
"1978-09";"117";"A"
"1978-08";"117";"A"
"1978-07";"118";"A"
"1978-06";"118";"A"
"1978-05";"119";"A"
"1978-04";"119";"A"
"1978-03";"120";"A"
"1978-02";"120";"A"
"1978-01";"119";"A"
"1977-12";"118";"A"
"1977-11";"118";"A"
"1977-10";"117";"A"
"1977-09";"116";"A"
"1977-08";"115";"A"
"1977-07";"113";"A"
"1977-06";"112";"A"
"1977-05";"111";"A"
"1977-04";"113";"A"
"1977-03";"115";"A"
"1977-02";"117";"A"
"1977-01";"117";"A"
"1976-12";"116";"A"
"1976-11";"115";"A"
"1976-10";"116";"A"
"1976-09";"117";"A"
"1976-08";"118";"A"
"1976-07";"119";"A"
"1976-06";"120";"A"
"1976-05";"121";"A"
"1976-04";"121";"A"
"1976-03";"120";"A"
"1976-02";"119";"A"
"1976-01";"119";"A"
"1975-12";"119";"A"
"1975-11";"119";"A"
"1975-10";"118";"A"
"1975-09";"117";"A"
"1975-08";"117";"A"
"1975-07";"116";"A"
"1975-06";"115";"A"
"1975-05";"115";"A"
"1975-04";"114";"A"
"1975-03";"114";"A"
"1975-02";"113";"A"
"1975-01";"111";"A"
"1974-12";"109";"A"
"1974-11";"107";"A"
"1974-10";"108";"A"
"1974-09";"109";"A"
"1974-08";"111";"A"
"1974-07";"113";"A"
"1974-06";"116";"A"
"1974-05";"116";"A"
"1974-04";"115";"A"
"1974-03";"111";"A"
"1974-02";"111";"A"
"1974-01";"114";"A"
"1973-12";"119";"A"
"1973-11";"123";"A"
"1973-10";"125";"A"
"1973-09";"125";"A"
"1973-08";"126";"A"
"1973-07";"128";"A"
"1973-06";"130";"A"
"1973-05";"131";"A"
"1973-04";"132";"A"
"1973-03";"131";"A"
"1973-02";"131";"A"
"1973-01";"130";"A"
"1972-12";"129";"A"
"1972-11";"128";"A"
"1972-10";"127";"A"
